state,i_urban,age,i_asian,i_black,i_hispanic,i_indigenous,i_white,i_female,i_male,i_grad_college,i_married,personal_income,i_foodstamps,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting
CA,1,50,0,0,0,0,1,0,1,0,0,7,0,1,1,285,314,25
CA,1,37,0,0,0,0,1,1,0,0,1,5,0,1,1,402,419,15
CA,1,57,0,0,0,0,1,0,1,0,0,3.9,0,1,0,512,514,4
CA,1,58,0,0,1,0,1,1,0,0,0,0.8,1,1,1,487,514,25
CA,1,48,0,0,0,0,1,1,0,0,0,7.2,0,1,1,437,454,15
CA,1,34,0,0,1,0,1,1,0,0,1,3.15,0,1,1,452,484,30
CA,1,32,0,0,0,0,1,0,1,1,0,12.05,0,1,1,422,514,90
CA,1,51,0,0,0,0,1,0,1,1,0,56.5,0,1,1,482,544,60
CA,1,63,0,0,0,0,0,0,1,0,1,5.7,0,0,1,542,604,60
CA,1,20,0,0,1,0,0,0,1,0,0,0.5,0,1,1,965,984,20
CA,1,37,0,0,1,0,1,1,0,0,1,1.8,0,1,1,422,434,12
CA,1,48,0,0,0,0,1,0,1,1,0,1.2,0,1,1,512,514,2
CA,1,41,0,0,0,0,1,0,1,0,0,0.12,0,1,0,605,614,10
CA,1,65,0,0,0,0,1,1,0,1,0,16.833,0,1,1,422,449,25
CA,1,75,0,0,0,0,1,0,1,1,1,32.4,0,1,1,557,604,45
CA,1,38,0,0,1,0,1,1,0,0,1,3.5,0,1,1,572,594,20
CA,1,45,1,0,0,0,0,1,0,1,1,8,0,1,1,1185,1214,25
CA,1,33,0,0,0,0,1,1,0,0,1,10,0,1,1,542,544,2
CA,1,32,0,0,1,0,0,0,1,0,1,3.58,0,1,1,362,379,15
CA,1,41,0,0,1,0,1,0,1,0,1,4.5,0,1,1,452,464,10
CA,1,53,0,1,0,0,0,1,0,1,0,10.1,0,1,1,467,499,30
CA,1,42,0,0,1,0,1,0,1,0,0,4,0,1,1,995,1024,30
CA,1,49,0,0,0,0,1,0,1,0,0,3.2,0,1,1,407,424,15
CA,1,33,0,1,0,0,0,1,0,0,0,2.7,0,0,1,605,614,10
CA,1,56,1,0,0,0,0,0,1,0,1,4.505,0,1,1,482,494,10
CA,1,19,0,0,1,0,1,1,0,0,0,2.5,0,1,1,1025,1044,20
CA,1,36,0,0,0,0,1,0,1,0,1,2.6,0,1,1,392,414,22
